"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41","Response_42","Response_43","Response_44","Response_45","Response_46","Response_47","Response_48","Response_49","Response_50","Response_51","Response_52","Response_53","Response_54","Response_55","Response_56","Response_57","Response_58","Response_59","Response_60","Response_61","Response_62","Response_63","Response_64","Response_65","Response_66","Response_67","Response_68","Response_69","Response_70","Response_71"
"342","pig","sheep","dog","cat","owl","emu","alligator","giraffe","lion","penguin","crow","lemming","crocodile","human","gopher","bear","black bear","brown bear","polar bear","leopard","madagascar day gecko","gecko","lizard","dolphin","whale","reef triggerfish","sailfish","salmon","bass","shrimp","crawfish","catfish","mouse","rat","hedgehog","blue jay","cardinal","coyote","hound","hare","rabbit","jackrabbit","deer","groundhog","flying fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","fox","cat","bat","dog","bird","eagle","elephant","velociraptor","armadillo","yorkshire terrier","pug","bald eagle","golden eagle","harpy eagle","asian elephant","african bush elephant","polar bear","brown bear","grizzly bear","tardigrade","tortoise","sea turtle","turtle","dolphin","orca","starling","brontosaurus","mouse","rat","koala","kangaroo","rattlesnake","kingsnake","king cobra","pit viper","cottonmouth snake","snake","sea snail","sea sponge","coral","portuguese man-of-war","jellyfish","trout","cod","sturgeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","dog","cat","pig","cow","snake","frog","bird","hamster","hedgehog","fish","ostrich","shark","crab","lobster","squirrel","deer","elk","elephant","tiger","lion","bear","turtle","ferret","rat","monkey","ape","gorilla","porcupine","caterpillar","donkey","horse","penguin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","dog","cat","fish","giraffe","tiger","lion","bear","hippopotamus","lemur","ape","gorilla","ostrich","flamingo","emu","camel","horse","cow","chicken","sheep","goat","pig","monkey","cheetah","puma","parrot","elephant","penguin","ferret","chipmunk","hamster","squirrel","gerbil","pony","owl","antelope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","cat","dog","fish","bird","alligator","crocodile","shark","marine iguana","fox","wolf","gray wolf","red fox","polar bear","arctic fox","kiwi bird","kangaroo","snake","blue jay","robin","pigeon","mouse","rat","canary","parrot","calico cat","hammerhead shark","blue whale","goldfish","hamster","guinea pig","cougar","mountain lion","ram","sheep","horse","cow","pig","chicken","rooster","chick","chihuahua","hound","golden retriever","poodle","puppy","kitten","calf","moose","deer","elk","rabbit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","dog","cat","bird","snake","fish","tiger","rhinoceros","elephant","chipmunk","squirrel","skunk","porcupine","giraffe","penguin","bear","lion","leopard","frog","toad","eagle","falcon","hummingbird","bat","wolf","whale","dolphin","seagull","coyote","fox","deer","moose","black bear","brown bear","hamster","rat","mouse","guinea pig","pig","cow","chicken","horse","donkey","monkey","ape","gorilla","silverback gorilla","beaver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","cow","dog","cat","goat","pig","sheep","elephant","giraffe","moose","chicken","horse","duck","goose","lion","tiger","bear","donkey","camel","pony","rat","mouse","snake","chinchilla","bat","rabbit","owl","panda","polar bear","penguin","seal","fish","turtle","crab","hippopotamus","rhinoceros","leopard","jaguar","bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","cat","dog","hamster","fish","goldfish","cow","goat","horse","bird","parrot","seagull","lobster","crab","ant","beetle","cockroach","whale","dolphin","rabbit","mouse","rat","bear","cheetah","lion","leopard","gerbil","peccary","scorpion","spider","tarantula","starfish","crayfish","duck","frog","toad","tasmanian devil","snake","lizard","iguana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","snake","rattlesnake","baboon","monkey","gorilla","ape","spider","tarantula","daddy long legs","black widow spider","dog","beagle","poodle","golden retriever","lab","cat","persian cat","turtle","sea turtle","bird","pelican","pigeon","whale","humpback whale","beluga","lion","cheetah","jaguar","mouse","ferret","falcon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","bear","cat","mouse","dog","rat","bird","lizard","frog","toad","spider","scorpion","tarantula","ant","beetle","cockroach","whale","shark","fish","pufferfish","betta fish","goldfish","turtle","crab","pigeon","bat","crane","flamingo","duck","cow","pig","moose","deer","elephant","lion","monkey","eel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","dog","cat","giraffe","lion","cheetah","jaguar","elephant","mouse","gerbil","rat","hamster","turtle","seal","frog","tortoise","orangutan","pig","cow","horse","sheep","seagull","bird","flamingo","duck","fish","goldfish","shark","whale","starfish","beluga","hammerhead shark","lobster","crab","ant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","dog","cat","bird","fish","frog","horse","cow","pig","dolphin","quail","pigeon","hippopotamus","monkey","squirrel","donkey","mule","whale","shark","seahorse","bear","moose","deer","elk","fox","coyote","wolf","mountain lion","giraffe","lion","zebra","mouse","rat","chinchilla","sugar glider","hamster","turtle","tortoise","wallaby","manatee","kangaroo","alligator","crocodile","gazelle","koala","chipmunk","duck","goose","dingo","tiger","raccoon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","lion","mountain lion","leopard","cheetah","meerkat","rabbit","bunny","elephant","goose","giraffe","hippopotamus","monkey","ape","squid","octopus","scallop","fish","crayfish","eel","crab","tortoise","turtle","cow","pig","horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","cat","dog","gecko","cow","calf","donkey","crow","pig","goat","hen","chicken","rooster","chick","golden retriever","shih tzu","canary","blue jay","robin","bird","hawk","bald eagle","lion","tiger","bear","monkey","rabbit","hamster","sugar glider","boa constrictor","garter snake","snake","turtle","red-eared slider","mouse","rat","gerbil","great dane","german shepherd","black lab","yellow lab","chocolate lab","fish","goldfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","bear","dog","cat","bird","penguin","feline","pig","cow","moose","mouse","horse","pony","lion","tiger","gazelle","zebra","cougar","wildcat","bobcat","arctic fox","fox","ferret","weasel","meerkat","muskrat","kangaroo","giraffe","fish","monkey","gorilla","panther","orangutan","cockatoo","whale","snake","turtle","guppy","wolf","saber-toothed tiger","wallaby","spider","hog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","dog","cat","fish","shark","dolphin","giraffe","lion","zebra","hippopotamus","snake","lizard","hamster","gerbil","rat","mouse","monkey","tiger","sheep","pig","cow","lamb","cheetah","flamingo","iguana","goldfish","corgi","golden retriever","beagle","bird","penguin","polar bear","bear","moose","deer","goose","swan","alligator","crocodile","pigeon","chicken","rooster","kangaroo","pit bull","shellfish","whale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","bird","reptile","amphibian","mammal","seal","lion","eagle","tiger","dog","wolf","cat","jaguar","peacock","crocodile","fish","shark","squid","octopus","crab","sea sponge","clam","crawfish","frog","lizard","gecko","llama","alpaca","sheep","ram","bull","cow","horse","calf","mare","seahorse","clownfish","pufferfish","dendrobate","whale","humpback whale","goat","rabbit","hare","owl","seagull","finch","tortoise","cardinal","anteater","aardvark","bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","pig","cow","chicken","dog","cat","fish","elephant","ant","butterfly","lion","tiger","zebra","chameleon","whale","shark","squid","caterpillar","anteater","armadillo","octopus","polar bear","bee","panda","giraffe","bear","sugar glider","lamb","sheep","spider","human","snake","lizard","penguin","mouse","rat","wasp","hornet","sting ray","goat","sea urchin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","cat","dog","golden retriever","monkey","baboon","orangutan","reptile","crocodile","alligator","iguana","anteater","butterfly","ant","horse","pony","donkey","mule","insect","boxer","doberman","rottweiler","pit bull","golden doodle","poodle","bulldog","bull","ox","cheetah","lion","lioness","panther","jaguar","black bear","brown bear","alaskan brown bear","bird","seagull","pigeon","rat","mouse","cockroach","worm","gnat","fly","horse-fly","grub","shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","dog","cat","cockroach","snake","worm","lizard","insect","mosquito","puppy","fish","chicken","cow","ox","rooster","horse","bird","mouse","starfish","squirrel","penguin","crocodile","bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","bird","monkey","giraffe","elephant","african bush elephant","asian elephant","hippopotamus","snake","kiwi bird","kangaroo","skunk","raccoon","cat","dog","hamster","koala","bear","polar bear","black bear","wolf","emu","lion","tiger","deer","mountain goat","goat","panda","turtle","sea turtle","sting ray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","dog","cat","bird","giraffe","elephant","cheetah","monkey","orangutan","hippopotamus","rhinoceros","snake","lizard","bearded dragon","seal","poodle","mountain lion","lion","bobcat","stallion","horse","pinto horse","hedgehog","parrot","boa constrictor","owl","narwhal","fish","betta fish","seahorse","whale","orca","shark","eel","dolphin","clownfish","praying mantis","ladybug","insect","butterfly","cockroach","beetle","skunk","lab","golden retriever","shihtzu","condor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","dog","cat","bird","hound","camel","elk","deer","bear","robin","penguin","hippopotamus","kangaroo","monkey","gorilla","rhinoceros","tiger","lion","siberian tiger","sea otter","badger","honey badger","raccoon","rat","mouse","rabbit","jackrabbit","mole","fox","black lab","yellow lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","cat","dog","lizard","iguana","elephant","mouse","bird","parakeet","parrot","pigeon","crocodile","bat","gazelle","deer","bear","wolf","gray wolf","leopard","eagle","raven","vulture","kangaroo","armadillo","wombat","koala","water buffalo","ant","termite","swan","herring","robin","swallow","blue-footed booby","octopus","shark","dolphin","blue whale","hammerhead shark","great white shark","tiger shark","marmoset","monkey","orangutan","siberian tiger","african bush elephant","asian elephant","sasquatch","crab","mussel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","dog","cat","fish","bunny","chinchilla","snail","newt","nematode","plankton","bacterium","bird","parrot","dove","raven","eagle","coral","angelfish","zebrafish","dachshund","golden retriever","pit bull","bulldog","australian shepherd","chihuahua","pomeranian","husky","german shepherd","shetland sheepdog","collie","great dane","siamese cat","platypus","goldfish","dinosaur","jellyfish","bass","largemouth bass","pike","trout","brown trout","rainbow trout","worm","c. elegans","mouse","rat","alligator","flamingo","penguin","otter","monkey","chimpanzee","gorilla","orangutan","lemur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","dog","cat","elephant","fish","lemur","snake","rabbit","lion","bear","tiger","horse","ferret","cow","pig","sheep","bird","toucan","giraffe","baboon","mouse","panda","chicken","shrimp","lobster","dolphin","rhinoceros","naked mole-rat","camel","donkey","dalmatian","australian shepherd","golden retriever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","zebra","tiger","cat","dog","wolf","lion","frog","bird","pig","mouse","horse","dragon","duck","cow","mink","sheep","lamb","bear","monkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","cat","dog","bird","fish","hamster","lion","parrot","lioness","cheetah","jaguar","panda","elephant","monkey","gorilla","chimpanzee","orangutan","spider monkey","dolphin","whale","shark","tuna","lizard","snake","frog","tortoise","sea turtle","rat","gerbil","bichon frize","chihuahua","great dane","sphynx cat","sphinx","Devon rex cat","cairn terrier","russian blue","siamese cat","goldfish","betta fish","angelfish","pufferfish","gecko","iguana","love bird","sparrow","eagle","hawk","falcon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371","dog","cat","monkey","lion","bird","parrot","terrier","frog","amphibian","feline","tiger","basset hound","lab","dalmatian","bloodhound","german shepherd","lizard","reptile","snake","iguana","fish","lionfish","rhinoceros","llama","bull","cow","chicken","horse","zebra","ostrich","giraffe","elephant","vulture","hog","warthog","howler monkey","ant","spider monkey","shark","dolphin","penguin","goat","sheep","bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","snake","dog","cat","bird","mouse","puppy","tiger","lion","pet","bear","polar bear","cheetah","fish","hamster","rat","deer","leopard","falcon","cub","kangaroo","rhinoceros","elk","hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","dog","cat","bird","parrot","lion","tiger","german shepherd","whale","fish","mammal","turtle","sea turtle","shark","snake","lizard","reptile","insect","ladybug","pet","liger","otter","blue whale","cow","horse","sheep","pig","turkey","chicken","deer","elk","doe","buck","raccoon","squirrel","cardinal","falcon","eagle","hawk","seagull","sting ray","crocodile","alligator","starfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","dog","cat","mouse","bird","duck","elephant","monkey","zebra","alpaca","cow","pig","goat","fish","dolphin","shark","snake","frog","gnat","turtle","goose","penguin","reptile","pet","jaguar","lion","leopard","hippopotamus","flamingo","mountain lion","crocodile","alligator","pufferfish","flounder","clownfish","golden retriever","german shepherd","gorilla","japanese macaque","baboon","tree frog","starfish","clam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","dog","cat","frog","lizard","bird","snake","lion","tiger","mouse","horse","jaguar","fish","shark","sting ray","giraffe","sloth","kangaroo","eel","bee","cricket","fly","human","mammoth","turtle","hamster","cow","pig","rooster","chicken","zebra","sheep","coyote","wolf","bull","hawk","bronco","foal","cardinal","moose","camel","scorpion","spider","cub","koala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","bear","cat","dog","alligator","mouse","horse","rhinoceros","giraffe","elephant","fish","dolphin","whale","cheetah","lion","walrus","hippopotamus","crocodile","bird","pigeon","hamster","rat","octopus","starfish","sting ray","manta ray","humpback whale","shark","tiger shark","great white shark","sea cucumber","ant","anteater","lizard","scorpion","quail","coyote","finch","cardinal","pig","cow","chicken","turkey","dinosaur","tyrannosaurus rex","narwhal","tiger","turtle","tuna","rainbow trout","catfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","cat","dog","penguin","elephant","mouse","rat","gerbil","guinea pig","bird","eagle","hawk","sparrow","finch","parakeet","parrot","turtle","anemone","sea urchin","starfish","fish","whale","humpback whale","lobster","crab","shrimp","crocodile","giraffe","lion","gazelle","panther","cougar","tiger","wildebeest","water buffalo","buffalo","bighorn sheep","meerkat","seal","walrus","muskrat","coyote","wolf","snake","python","anaconda","lizard","salamander","frog","toad","tree frog","sloth","monkey","ape","chimpanzee","hamster","sheep","cow","rooster","hen","bull","stallion","horse","seahorse","vulture","bald eagle","manatee","sting ray","zebra","leopard","cheetah","gopher"
"379","anteater","alligator","bee","ant","cat","dog","horse","emu","moose","caribou","crocodile","monkey","lizard","snake","penguin","whale","shark","fish","grasshopper","insect","spider","antelope","cheetah","jaguar","puma","mountain lion","bobcat","coyote","wolf","piranha","elephant","bear","tiger","reptile","frog","turtle","bunny","rabbit","eagle","hawk","sparrow","mouse","falcon","swordfish","shrimp","lamb","sheep","mule","donkey","walrus","manatee","cow","elk","deer","polar bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","bear","cat","dog","lion","monkey","koala","panda","snake","horse","cow","sheep","lamb","eagle","armadillo","rhinoceros","hippopotamus","elephant","giraffe","alligator","crocodile","rat","mouse","lizard","squirrel","ape","orangutan","naked mole-rat","bull","pig","duck","goose","chicken","emu","deer","moose","gazelle","tiger","leopard","panther","bobcat","fox","whale","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","dog","cat","fish","horse","whale","dolphin","rat","mouse","kangaroo","seal","seagull","butterfly","bird","ant","shark","lion","cheetah","jaguar","sloth","frog","koala","turtle","tortoise","lizard","snake","cow","goose","lamb","chicken","rooster","bull","moose","walrus","iguana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","kangaroo","dog","cat","fish","shark","dolphin","eel","horse","emu","ostrich","koala","dingo","bird","eagle","hawk","ant","insect","praying mantis","spider","hummingbird","feline","golden retriever","golden doodle","poodle","pug","great dane","german shepherd","dachshund","labrador retriever","bloodhound","beagle","australian shepherd","puppy","kitten","chihuahua","yorkshire terrier","lion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","zebra","dog","cat","giraffe","bear","fish","dolphin","whale","wombat","bat","spider","lion","tiger","elk","deer","rabbit","bunny","elephant","snake","hippopotamus","panther","ant","flamingo","bird","monkey","human","penguin","polar bear","panda","black bear","anteater","shark","crab","hermit crab","salmon","starfish","clam","leopard","owl","jaguar","coyote","mountain lion","hawk","eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","tiger","sparrow","pigeon","lion","bear","dog","cat","fish","whale","lizard","snake","gecko","gnat","jellyfish","seahorse","sloth","penguin","eagle","shark","dolphin","mountain lion","goat","deer","doe","elk","monkey","gorilla","leopard","meerkat","lemur","pufferfish","clownfish","betta fish","tuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","dog","cat","lion","tiger","lizard","bear","giraffe","turtle","bobcat","snake","fish","bird","alligator","hamster","guinea pig","ferret","monkey","worm","spider","scorpion","mountain lion","coyote","hyena","ape","chinchilla","goose","dove","donkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","bird","falcon","goose","dog","cat","raven","cow","wolf","prairie dog","bunny","mouse","rabbit","kangaroo","elephant","cheetah","panther","anaconda","lizard","gecko","moose","crane","peacock","ostrich","alligator","shark","dolphin","sea urchin","koi","clownfish","catfish","crab","deer","lion","blue gill","whale","orca","beaver","chipmunk","chimpanzee","koala","tarsier","human","ape","gorilla","great white shark","hammerhead shark","tiger shark","goat","lamb","pig","boar","wild boar","otter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","dog","cat","zebra","elephant","monkey","spider","snake","cow","camel","tiger","lion","giraffe","panda","bear","polar bear","brown bear","rat","mouse","horse","fish","shark","jellyfish","tuna","shrimp","guinea pig","pig","whale","worm","gorilla","bull","bird","parrot","tarantula","koi","bat","orca","blue shark","cricket","sting ray","roadrunner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","tiger","bear","lion","lizard","basilisk lizard","gila monster","dragon","lamb","sheep","sheepdog","border collie","german shepherd","cat","domestic shorthair cat","naked mole-rat","otter","seal","penguin","polar bear","crab","spider","tarantula","iguana","leopard","fer-de-lance","snake","diamondback","black widow","mosquito","wombat","sugar glider","bat","vampire bat","rhinoceros","giraffe","zebra","gazelle","opossum","turtle","frog","tree frog","crocodile","alligator","caiman","fox","hound","dachshund","doberman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","dog","cat","bird","fish","toad","snake","human","cow","hen","seal","eland","lab","sow","tiger","elephant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","dog","cat","bear","bird","gopher","lion","tiger","whale","monkey","penguin","squirrel","fox","shark","kangaroo","unicorn","snake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","cat","turtle","horse","whale","fish","bird","sparrow","blue jay","elephant","tiger","human","chicken","turkey","insect","hummingbird","wolverine","bear","pigeon","donkey","pet","lion","koala","shark","octopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","bat","whale","blue whale","humpback whale","whale shark","great white shark","tiger shark","snake","black mamba","viper","pit viper","cobra","king cobra","rattlesnake","python","alligator","tiger","lion","white tiger","lioness","cat","dog","husky","pit bull","pug","golden retriever","black lab","lab","narwhal","seal","dolphin","manatee","hippopotamus","zebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","scorpion","bobcat","rattlesnake","bee","bird","snake","pit viper","mountain lion","puma","elephant","giraffe","lion","robin","sparrow","crow","eagle","falcon","bald eagle","osprey","whale","shark","whale shark","tiger shark","bull shark","blue whale","dolphin","dog","cat","golden retriever","poodle","chihuahua","siamese","maine coon","raccoon","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","cat","dog","mouse","cow","tiger","bunny","snake","horse","sheep","chicken","monkey","pig","goose","lion","panther","jaguar","cougar","wolf","badger","narwhal","orca","dolphin","fish","lizard","duck","owl","parrot","toucan","frog","toad","bear","panda","koala","brown bear","salmon","tuna","roadrunner","coyote","wildcat","seal","otter","walrus","penguin","polar bear","turtle","tortoise","snail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","cat","dog","rat","mouse","parrot","kangaroo","python","bird","human","collie","retriever","hound","tiger","lion","gazelle","wildebeest","hyena","cheetah","ox","rabbit","penguin","polar bear","seal","whale","tiger shark","goldfish","fish","betta fish","snail","worm","horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
